model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-large-v3,openai/whisper-large-v3,transformers,whisper,common_voice_22_en,30,30,0,0.12156862745098039,0.06896551724137931,5.793019366218268,5.455302771552823,3.7446163800556853,928.224770228068,873.2465505599976,1391.1138057708743,1406.0,3172.0,28.41240668296814,157.39200000000002,Tesla T4
parakeet-rnnt-0.6b,nvidia/parakeet-rnnt-0.6b,nemo,parakeet,common_voice_22_en,30,30,0,0.12156862745098039,0.060719640179910044,57.63380472160872,56.80260308096334,35.74944913035954,140.56488672892252,83.2439661026001,105.07676601409915,50.0,2416.0,4.827604293823242,157.39200000000002,Tesla T4
parakeet-ctc-1.1b,nvidia/parakeet-ctc-1.1b,nemo,parakeet,common_voice_22_en,30,30,0,0.09411764705882353,0.05322338830584707,40.37429604743706,40.52118175877294,25.653515584135622,127.18343734741211,123.49832057952881,145.672869682312,30.0,4100.0,4.498104572296143,157.39200000000002,Tesla T4
whisper-large-v3-turbo,openai/whisper-large-v3-turbo,transformers,whisper,common_voice_22_en,30,30,0,0.12156862745098039,0.05922038980509745,16.925660439193706,15.506554134252578,10.874360985799544,305.4902235666911,296.2223291397095,366.11170768737793,264.0,1660.0,9.731515884399414,157.39200000000002,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,common_voice_22_en,30,30,0,0.12941176470588237,0.07196401799100449,5.326479249739625,5.330551318161325,3.581474232175419,1001.683791478475,877.5711059570312,1436.7464542388918,1480.0,3288.875,118.87022280693054,157.39200000000002,Tesla T4
parakeet-tdt-0.6b-v2,nvidia/parakeet-tdt-0.6b-v2,nemo,parakeet,common_voice_22_en,30,30,0,0.09019607843137255,0.05772113943028486,60.70325040322019,60.148466994191736,40.017739782335944,130.0816853841146,78.2383680343628,100.14147758483888,112.0,2426.0,4.4793455600738525,157.39200000000002,Tesla T4
parakeet-tdt-1.1b,nvidia/parakeet-tdt-1.1b,nemo,parakeet,common_voice_22_en,30,30,0,0.06666666666666667,0.034482758620689655,34.398089610976044,35.372301278704654,23.14567555886445,148.46555391947427,143.135666847229,180.18529415130615,54.0,4146.0,5.502430200576782,157.39200000000002,Tesla T4
whisper-medium.en,openai/whisper-medium.en,transformers,whisper,common_voice_22_en,30,30,0,0.1568627450980392,0.09070464767616192,8.921515855882841,8.376714640143494,5.730379677526659,604.202405611674,570.8203315734863,870.1478481292726,852.0,1446.0,18.699066638946533,157.39200000000002,Tesla T4
parakeet-tdt_ctc-110m,nvidia/parakeet-tdt_ctc-110m,nemo,parakeet,common_voice_22_en,30,30,0,0.12941176470588237,0.06671664167916042,3.226856651384227,3.2356942207010957,1.790546353460412,1628.7043571472168,1620.4737424850464,1657.6130867004395,674.0,460.0,49.46979880332947,157.39200000000002,Tesla T4
whisper-tiny,openai/whisper-tiny,transformers,whisper,common_voice_22_en,30,30,0,0.23921568627450981,0.13493253373313344,44.55349247273804,41.45928627770176,31.395086495243973,121.06447219848633,108.45136642456055,181.92965984344482,88.0,74.0,4.221927881240845,157.39200000000002,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,common_voice_22_en,30,30,0,0.11764705882352941,0.06296851574212893,9.512056578320756,8.889498518955044,6.033610834790868,566.3350184758505,532.8558683395386,780.9237957000734,854.0,1446.0,17.54802179336548,157.39200000000002,Tesla T4
whisper-small,openai/whisper-small,transformers,whisper,common_voice_22_en,30,30,0,0.13333333333333333,0.06896551724137931,21.235940028092507,19.830702018558796,13.794775001924137,256.9150924682617,244.00734901428223,405.06930351257324,334.0,478.0,8.270271301269531,157.39200000000002,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,common_voice_22_en,30,30,0,0.13333333333333333,0.07496251874062969,8.639108504081793,8.09869390759247,5.702913434540567,595.4082330067953,579.1493654251099,716.6330337524414,298.0,3104.0,18.436399698257446,157.39200000000002,Tesla T4
distil-large-v3,distil-whisper/distil-large-v3,transformers,whisper,common_voice_22_en,30,30,0,0.1450980392156863,0.07496251874062969,19.516892018553804,18.82497036821499,12.53909300384227,263.6505365371704,258.34858417510986,308.6416721343994,186.0,1550.0,8.454505681991577,157.39200000000002,Tesla T4
whisper-base.en,openai/whisper-base.en,transformers,whisper,common_voice_22_en,30,30,0,0.1568627450980392,0.0937031484257871,36.45641799068099,33.89836362192985,24.8002739825204,148.27855428059897,138.37802410125732,227.34749317169192,170.0,130.0,5.033745288848877,157.39200000000002,Tesla T4
parakeet-rnnt-1.1b,nvidia/parakeet-rnnt-1.1b,nemo,parakeet,common_voice_22_en,30,30,0,0.06274509803921569,0.04122938530734633,29.27572576213174,30.062287869300622,18.417738099877255,233.73525937398276,161.3680124282837,195.92957496643066,78.0,4146.0,7.63392186164856,157.39200000000002,Tesla T4
parakeet-tdt-0.6b-v3,nvidia/parakeet-tdt-0.6b-v3,nemo,parakeet,common_voice_22_en,30,30,0,0.10196078431372549,0.060719640179910044,59.93898691190118,59.202668132768764,40.10771974937181,142.29501883188883,79.91397380828857,98.73771667480472,132.0,2450.0,4.839241981506348,157.39200000000002,Tesla T4
fw-distil-large-v3,distil-large-v3,faster-whisper,whisper,common_voice_22_en,30,30,0,0.1607843137254902,0.07871064467766117,14.483242662566619,14.824448236370525,8.333515366507779,358.3758036295573,354.37023639678955,378.1609773635864,296.0,1568.0,11.35422945022583,157.39200000000002,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,common_voice_22_en,30,30,0,0.1843137254901961,0.095952023988006,38.277990829959535,34.6552425148564,26.15732694918504,143.50744088490805,132.2544813156128,219.82326507568362,170.0,130.0,4.867328405380249,157.39200000000002,Tesla T4
parakeet-ctc-0.6b,nvidia/parakeet-ctc-0.6b,nemo,parakeet,common_voice_22_en,30,30,0,0.13333333333333333,0.07496251874062969,71.43913606447087,66.73569803497725,44.135929779345766,72.80817031860352,68.61066818237305,79.43594455718994,28.0,2370.0,2.8084332942962646,157.39200000000002,Tesla T4
whisper-tiny.en,openai/whisper-tiny.en,transformers,whisper,common_voice_22_en,30,30,0,0.2627450980392157,0.1431784107946027,48.231562822858216,44.47352847855091,32.15293253912736,113.39786052703857,106.25290870666504,166.49432182312015,88.0,74.0,3.953632354736328,157.39200000000002,Tesla T4
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,common_voice_22_en,30,30,0,0.12156862745098039,0.05922038980509745,13.873800534899836,14.14307976729067,8.033771962248645,374.13275241851807,371.86622619628906,396.73964977264404,328.0,1696.0,11.81138277053833,157.39200000000002,Tesla T4
whisper-small.en,openai/whisper-small.en,transformers,whisper,common_voice_22_en,30,30,0,0.15294117647058825,0.07646176911544228,21.13280704236665,19.43427424800656,14.126785254918902,257.20898310343426,241.3691282272339,377.08034515380865,334.0,478.0,8.254074573516846,157.39200000000002,Tesla T4
