model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
gemma-4-E2B-it,,,,fleurs_es,30,0,0,,,,,,,,,,,,,
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,mls_es,30,30,0,0.019507186858316223,0.0047169811320754715,30.014530235651367,30.747425298464194,24.068117028792713,508.939528465271,509.40608978271484,571.2835073471069,328.0,1696.0,17.792229890823364,460.7404374999999,Tesla T4
parakeet-tdt-0.6b-v3,,,,fleurs_es,30,0,0,,,,,,,,,,,,,
whisper-base,openai/whisper-base,transformers,whisper,mls_es,30,30,0,0.10574948665297741,0.027015437392795882,30.687109725170956,30.251042669174694,26.704964348576855,511.53271198272705,478.49345207214355,661.0085487365723,174.0,130.0,17.78833770751953,460.7404374999999,Tesla T4
gemma-4-E2B-it,google/gemma-4-E2B-it,transformers,gemma4,mls_es,30,30,0,0.06365503080082136,0.021012006861063463,4.689734272403711,4.562124497112069,4.1137072008839635,3309.941299756368,3229.3742895126343,4199.797010421753,30.0,9888.0,101.89433193206787,460.7404374999999,Tesla T4
whisper-small,openai/whisper-small,transformers,whisper,voxpopuli_es,30,30,0,0.10202205882352941,0.07056417249019942,12.687455457178231,12.509855944814703,10.57523853190261,917.7872260411581,795.9878444671631,1541.4164781570437,12.0,478.0,39.81788682937622,353.28906250000006,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,voxpopuli_es,30,30,0,0.10110294117647059,0.07687063235043463,9.392241891093938,9.279603368393275,7.307319387155574,1215.9390290578206,1095.7108736038208,1921.2114334106448,352.0,3104.0,49.597732067108154,353.28906250000006,Tesla T4
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,voxpopuli_es,30,30,0,0.07628676470588236,0.05641724901994205,21.520820452536814,20.382275058535637,14.479969560666003,520.8698193232218,483.7549924850464,689.7493839263916,288.0,1696.0,28.64549732208252,353.28906250000006,Tesla T4
whisper-tiny,openai/whisper-tiny,transformers,whisper,mls_es,30,30,0,0.20636550308008214,0.06625214408233276,39.55963886612667,39.10168292680305,33.35467202340067,398.28637440999347,366.7362928390503,518.907403945923,92.0,74.0,14.54102635383606,460.7404374999999,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,voxpopuli_es,30,30,0,0.1488970588235294,0.08283620248849498,24.398702433591836,24.166759589806425,19.617448147206247,480.2251259485881,399.88768100738525,812.390685081482,0.0,130.0,26.727623462677002,353.28906250000006,Tesla T4
