model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,common_voice_22_es,30,30,0,0.10847457627118644,0.06134969325153374,14.216225191651766,14.318235688343684,8.224436607236354,411.4951769510905,417.23883152008057,441.7266368865967,288.0,1696.0,13.143121242523193,176.98799999999997,Tesla T4
parakeet-tdt-0.6b-v3,nvidia/parakeet-tdt-0.6b-v3,nemo,parakeet,fleurs_es,30,30,0,0.030978934324659233,0.014489366674456649,67.61755592115249,70.11929748144792,60.21502547858871,241.57617092132568,159.58547592163086,212.2892141342163,138.0,2450.0,8.486294507980347,348.96,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,common_voice_22_es,30,30,0,1.0813559322033899,0.5325153374233129,30.766276525887385,30.90343413704167,23.273829027039415,320.51859696706134,201.58767700195312,270.39430141448975,8.0,130.0,10.423959255218506,176.98799999999997,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,common_voice_22_es,30,30,0,0.0847457627118644,0.051533742331288344,8.473004353983258,8.251808999506913,5.422295303043989,687.6677751541138,703.6912441253662,808.0976963043213,256.0,3104.0,21.42896008491516,176.98799999999997,Tesla T4
whisper-large-v3,openai/whisper-large-v3,transformers,whisper,common_voice_22_es,30,30,0,0.09491525423728814,0.05521472392638037,4.776774086884753,4.284921302163882,3.5270271544465803,2050.2076069513955,1284.4823598861694,1685.3681564331055,400.0,3172.0,62.34951329231262,176.98799999999997,Tesla T4
whisper-tiny,openai/whisper-tiny,transformers,whisper,common_voice_22_es,30,30,0,0.9254237288135593,0.48466257668711654,38.28993408458228,37.586440339349686,26.551265811481734,249.12066459655762,156.79478645324707,215.30656814575195,6.0,74.0,8.265849113464355,176.98799999999997,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,common_voice_22_es,30,30,0,0.8508474576271187,0.8644171779141104,4.442197111197052,4.363290188471109,3.4223929070737675,2128.5624345143638,1394.5872783660889,1688.0929946899414,382.0,3288.875,134.32857990264893,176.98799999999997,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,common_voice_22_es,30,30,0,0.15254237288135594,0.06809815950920245,7.386967943224682,7.084029992391438,5.632174373518481,804.0137926737467,828.6417722702026,1091.651701927185,0.0,1446.0,24.93789768218994,176.98799999999997,Tesla T4
whisper-tiny,openai/whisper-tiny,transformers,whisper,fleurs_es,30,30,0,0.16604708798017348,0.055386772610423,39.315090707119445,38.96063719727166,33.79881128932692,298.7217664718628,288.754940032959,390.2599334716797,92.0,74.0,9.97281002998352,348.96,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,fleurs_es,30,30,0,0.024783147459727387,0.00817948118719327,4.794198369806973,4.6862414447425635,4.198843092231224,2454.8494577407837,2300.0552654266357,3156.105828285218,1520.0,3288.875,94.72037601470947,348.96,Tesla T4
