model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-small,openai/whisper-small,transformers,whisper,voxpopuli_lt,300,42,0,0.5780487804878048,0.25105075978014874,9.166650808113216,8.993878177661582,7.132495599493617,1149.0046637398857,1105.600357055664,1697.912263870239,0.0,478.0,49.27500820159912,436.524875,Tesla T4
parakeet-tdt-0.6b-v3,nvidia/parakeet-tdt-0.6b-v3,nemo,parakeet,mls_es,300,300,0,0.06730568868514274,0.02227358688800168,77.1712966581158,77.03689400521222,69.29394821275129,196.23019615809122,185.377836227417,233.29119682312015,262.0,2450.0,75.40466618537903,4387.959187499999,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,voxpopuli_lt,300,42,0,0.3304878048780488,0.2032007759456838,2.916692788340729,2.911790094705373,2.2931769421619697,3573.226355371021,3386.569857597351,5366.8325901031485,0.0,3288.875,151.256516456604,436.524875,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,fleurs_lt,300,300,0,0.40618019359642593,0.10363898078234299,4.854863418954476,4.531523828292558,3.477877390101703,2308.8648064931235,2158.672094345093,3219.0213680267334,0.0,1446.0,698.6945588588715,3332.880000000001,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,fleurs_es,300,300,0,0.09438114966338684,0.029648274786715077,30.39308677186961,29.517860407445017,25.73292900392534,407.982280254364,390.2401924133301,593.9347028732301,0.0,130.0,127.08518743515015,3657.06,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,fleurs_es,300,300,0,0.026670119109269808,0.010692090080858932,10.877177981372798,10.703445550754713,9.140032053265967,1110.5925488471985,1055.4888248443604,1455.3110837936401,416.0,3104.0,338.0033926963806,3657.06,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,fleurs_es,300,300,0,0.03495598135680994,0.012229078029982403,7.4998577684658905,7.388018167453986,6.447289231088999,1643.5416165987651,1549.3367910385132,2318.2574748992924,0.0,1446.0,497.8591480255127,3657.06,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,voxpopuli_lt,300,42,0,0.2890243902439024,0.19705787261558358,7.515090337512604,7.150886729866684,5.195717243316075,1405.4705188387916,1330.204725265503,1942.3559665679932,416.0,3104.0,60.19971537590027,436.524875,Tesla T4
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,voxpopuli_lt,300,42,0,0.30365853658536585,0.18509537665696735,17.36650939946856,17.14466523714794,10.751487771987298,647.752426919483,541.3587093353271,698.9222288131714,288.0,1696.0,28.412880182266235,436.524875,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,mls_es,300,300,0,0.1321108564284226,0.04322909702191064,29.874902570227245,30.29300311902118,22.79687401690938,501.35141054789227,482.29527473449707,647.6713657379152,174.0,130.0,166.89976620674133,4387.959187499999,Tesla T4
whisper-large-v3,openai/whisper-large-v3,transformers,whisper,fleurs_lt,300,300,0,0.22691734921816828,0.05919341397510038,3.245575606997053,3.0386633258793814,2.3548185176723977,3445.5227200190225,3244.9731826782227,4801.604652404785,0.0,3172.0,1038.8309025764465,3332.880000000001,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,mls_es,300,300,0,0.04594707230673057,0.015740510802498615,7.478127586746256,7.573883612465904,5.6422516028901075,2000.7442951202393,1959.830641746521,2595.1308488845825,892.0,1446.0,617.2631461620331,4387.959187499999,Tesla T4
