model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-tiny,openai/whisper-tiny,transformers,whisper,fleurs_lt,30,30,0,0.9153284671532846,0.3576923076923077,18.308524843647323,17.488108534382246,14.961635025281497,604.3242534001669,553.5660982131958,899.8686552047731,0.0,74.0,19.308807849884033,322.9200000000001,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,common_voice_22_lt,30,30,0,0.36492890995260663,0.11428571428571428,6.631471252907364,6.458723349484706,4.9972112284796815,763.8151407241821,730.0280332565308,967.9181337356567,256.0,3104.0,23.405243158340454,154.01999999999998,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,fleurs_lt,30,30,0,0.2773722627737226,0.07948717948717948,2.8005399564236266,2.7612535546003913,2.325892566423189,3887.301047643026,3720.1837301254272,5482.598519325257,0.0,3288.875,121.90385103225708,322.9200000000001,Tesla T4
whisper-large-v3-turbo,openai/whisper-large-v3-turbo,transformers,whisper,voxpopuli_lt,30,30,0,0.29624478442280944,0.1953970080552359,12.743698066102878,12.287259745012172,8.846363847878068,854.6253283818563,784.2235565185547,1364.2432212829592,270.0,1660.0,26.645047903060913,322.11375,Tesla T4
whisper-small,openai/whisper-small,transformers,whisper,common_voice_22_lt,30,30,0,0.7440758293838863,0.22393822393822393,10.068043061666183,9.97355833532086,7.099430388789525,520.2644427617391,501.0261535644531,765.4644727706909,0.0,478.0,16.10720729827881,154.01999999999998,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,fleurs_lt,30,30,0,0.23503649635036497,0.06974358974358974,7.495399121849483,7.22106130466833,6.002500320381504,1430.4888248443604,1346.6510772705078,1926.0004997253418,416.0,3104.0,45.05993676185608,322.9200000000001,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,common_voice_22_lt,30,30,0,0.5734597156398105,0.16525096525096525,4.996430682293307,4.971524662918417,3.50538884847495,1040.8235867818196,962.9857540130615,1441.6992187500002,0.0,1446.0,31.738903760910034,154.01999999999998,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,common_voice_22_lt,30,30,0,0.4976303317535545,0.1583011583011583,3.2502164912366465,3.2833233373529325,2.349969377617993,1597.905421257019,1422.7626323699951,2296.256470680237,0.0,3288.875,67.01081109046936,154.01999999999998,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,common_voice_22_lt,30,30,0,0.933649289099526,0.3598455598455598,17.699464609858804,17.83397575390756,12.255847584094816,442.5978660583496,256.3668489456177,444.5307016372681,2.0,130.0,13.76401662826538,154.01999999999998,Tesla T4
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,common_voice_22_lt,30,30,0,0.5213270142180095,0.14671814671814673,11.880485517907584,10.811788639241772,8.278229184269733,439.4022862116496,413.5580062866211,471.2444067001343,288.0,1696.0,13.661797285079956,154.01999999999998,Tesla T4
