model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-small,openai/whisper-small,transformers,whisper,common_voice_25_lt,30,30,0,0.7166666666666667,0.2021783526208305,9.787122612789368,9.81723709108148,7.312178416824362,561.4479064941406,565.5539035797119,790.7224416732788,338.0,478.0,17.031290769577026,162.576,Tesla T4
parakeet-tdt-0.6b-v3,nvidia/parakeet-tdt-0.6b-v3,nemo,parakeet,common_voice_25_lt,30,30,0,0.29583333333333334,0.1592920353982301,40.165599122773074,40.96438881949493,28.30831555701513,209.08637046813965,127.94375419616699,146.4690923690796,136.0,2450.0,6.461180210113525,162.576,Tesla T4
whisper-large-v3,openai/whisper-large-v3,transformers,whisper,common_voice_25_lt,30,30,0,0.36666666666666664,0.10415248468345814,3.224222930517882,3.1880216970028785,2.413680600056182,1702.1576563517253,1598.4147787094116,2406.6139221191406,1426.0,3172.0,51.243687868118286,162.576,Tesla T4
fw-large-v3-turbo,large-v3-turbo,faster-whisper,whisper,common_voice_25_lt,30,30,0,0.4375,0.13818924438393465,12.237954808258511,12.504240016295054,8.679544762966575,465.4476324717204,425.0229597091675,477.08277702331543,328.0,1696.0,14.149999618530273,162.576,Tesla T4
whisper-large-v3-turbo,openai/whisper-large-v3-turbo,transformers,whisper,common_voice_25_lt,30,30,0,0.6,0.28182437031994556,12.12241560802197,12.473929313526284,8.861028695897716,580.9491952260336,423.4398603439331,583.8744163513184,310.0,1660.0,17.612294912338257,162.576,Tesla T4
whisper-base,openai/whisper-base,transformers,whisper,common_voice_25_lt,30,30,0,0.9458333333333333,0.32947583390061264,18.319692313883525,18.11691625208722,12.994508612143647,304.3835401535034,307.60109424591064,448.5001802444458,172.0,130.0,9.318883895874023,162.576,Tesla T4
fw-large-v3,large-v3,faster-whisper,whisper,common_voice_25_lt,30,30,0,0.39166666666666666,0.11436351259360109,6.751112460297078,6.602113897516739,5.354889438670504,797.150961558024,753.5104751586914,1034.7161531448364,298.0,3104.0,24.101460456848145,162.576,Tesla T4
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,common_voice_25_lt,30,30,0,0.44583333333333336,0.15180394826412524,3.3383431701080184,3.3923577785932872,2.3084301849794318,1697.5541512171428,1522.8469371795654,2485.537624359131,1500.0,3288.875,86.77927231788635,162.576,Tesla T4
whisper-medium,openai/whisper-medium,transformers,whisper,common_voice_25_lt,30,30,0,0.5833333333333334,0.1688223281143635,4.687660053147105,4.627387011818541,3.3762278218412165,1174.8514493306477,1128.9693117141724,1715.5990839004517,864.0,1446.0,35.43151235580444,162.576,Tesla T4
whisper-tiny,openai/whisper-tiny,transformers,whisper,common_voice_25_lt,30,30,0,2.6041666666666665,1.665078284547311,22.596572578536883,22.074663174170972,15.9889017071882,464.77006276448566,242.1971559524536,410.45541763305664,98.0,74.0,14.127917528152466,162.576,Tesla T4
