model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-tiny.en,openai/whisper-tiny.en,transformers,whisper,voxpopuli_en,10,10,0,0.07228915662650602,0.035546613011401745,34.427373399548436,39.15547826879698,19.17888178326885,278.7372350692749,298.2337474822998,448.7168788909912,0.0,74.0,17.74993920326233,104.01631249999998,Tesla T4
whisper-tiny.en,openai/whisper-tiny.en,transformers,whisper,ami_ihm,10,10,0,0.25806451612903225,0.22962962962962963,10.231428472617766,10.739415379681652,3.845242540156387,96.56143188476562,86.04931831359863,136.61479949951172,0.0,74.0,1.8600890636444092,9.3,Tesla T4
qwen3-asr-1.7b,Qwen/Qwen3-ASR-1.7B,,,voxpopuli_en,10,0,0,,,,,,,,,,,,,
parakeet-tdt-1.1b,nvidia/parakeet-tdt-1.1b,nemo,parakeet,ami_ihm,10,10,0,0.3225806451612903,0.16296296296296298,5.8665377848662486,5.925837657979031,1.8487877252772504,163.3244276046753,169.86942291259766,198.63548278808594,0.0,4136.0,2.538686990737915,9.3,Tesla T4
parakeet-tdt-0.6b-v2,nvidia/parakeet-tdt-0.6b-v2,nemo,parakeet,librispeech_clean,10,10,0,0.00398406374501992,0.002191380569758948,22.877673377457356,21.18490014584765,8.59564930776047,547.7946996688843,387.0342969894409,661.7007970809931,172.0,2426.0,6.822213172912598,91.52499999999999,Tesla T4
parakeet-rnnt-1.1b,nvidia/parakeet-rnnt-1.1b,nemo,parakeet,librispeech_clean,10,10,0,0.00398406374501992,0.002191380569758948,30.533681942081472,31.38262448762653,17.055729460555536,440.62721729278564,273.1325626373291,591.2429809570307,148.0,4136.0,5.510643482208252,91.52499999999999,Tesla T4
whisper-tiny.en,openai/whisper-tiny.en,transformers,whisper,earnings22,10,10,0,0.21965317919075145,0.1442516268980477,23.90702554994383,25.411775099379945,14.716705865511852,238.6758327484131,205.51586151123047,390.5621290206909,0.0,74.0,3.4128565788269043,57.0000625,Tesla T4
qwen3-asr-1.7b,Qwen/Qwen3-ASR-1.7B,,,librispeech_clean,10,0,0,,,,,,,,,,,,,
parakeet-tdt-1.1b,nvidia/parakeet-tdt-1.1b,nemo,parakeet,earnings22,10,10,0,0.21965317919075145,0.1301518438177874,22.71652160419002,26.040552732674072,11.129116777230113,238.31219673156738,229.6440601348877,337.43724822998047,0.0,4136.0,4.06181263923645,57.0000625,Tesla T4
gemma-4-E4B-it,google/gemma-4-E4B-it,transformers,gemma4,ami_ihm,10,10,0,0.7419354838709677,0.6444444444444445,0.1022992930847995,0.10310255396809137,0.058989494060952496,10088.535404205322,8777.131915092468,17228.890895843506,5376.0,7940.875,102.14547276496887,9.3,Tesla T4
whisper-large-v3-turbo,openai/whisper-large-v3-turbo,transformers,whisper,librispeech_clean,10,10,0,0.00398406374501992,0.002191380569758948,15.500576989844031,14.878031871267416,10.460733315951373,703.8720369338989,513.0857229232788,1101.4064550399776,328.0,1674.0,8.146265268325806,91.52499999999999,Tesla T4
whisper-tiny.en,openai/whisper-tiny.en,transformers,whisper,librispeech_clean,10,10,0,0.0199203187250996,0.008765522279035792,24.562192421791252,25.241082946304786,18.82990432590845,392.0463562011719,255.66565990447998,761.6997480392455,92.0,74.0,5.424152851104736,91.52499999999999,Tesla T4
parakeet-rnnt-1.1b,nvidia/parakeet-rnnt-1.1b,nemo,parakeet,voxpopuli_en,10,10,0,0.01606425702811245,0.007377598926894702,36.13057517846088,37.23691562409829,18.29148891886005,262.2847557067871,275.0256061553955,371.9242811203003,0.0,4136.0,18.211666107177734,104.01631249999998,Tesla T4
gemma-4-E4B-it,google/gemma-4-E4B-it,transformers,gemma4,earnings22,10,10,0,0.18497109826589594,0.10845986984815618,0.18603900488565306,0.17724400580909433,0.10753966695865838,32027.9283285141,28138.09585571289,55910.57846546173,5440.0,7940.875,322.57830595970154,57.0000625,Tesla T4
gemma-4-E4B-it,google/gemma-4-E4B-it,transformers,gemma4,voxpopuli_en,10,10,0,0.08032128514056225,0.04225352112676056,0.20844164791165354,0.22452793386426062,0.17802753443042652,47009.953236579895,41104.140758514404,84706.9094657898,5472.0,7940.875,484.61966156959534,104.01631249999998,Tesla T4
