model_key,model_id,backend,family,dataset_key,sample_cap,num_clips,failed_clips,wer,cer,rtfx_mean,rtfx_p50,rtfx_p10,latency_ms_mean,latency_ms_p50,latency_ms_p90,gpu_peak_mem_mb,model_load_mem_mb,wall_time_s,audio_duration_s_total,gpu_name
whisper-large-v2,openai/whisper-large-v2,transformers,whisper,librispeech_clean,1,1,0,0.0,0.0,1.2958738334431075,1.2958738334431075,1.2958738334431075,2704.7386169433594,2704.7386169433594,2704.7386169433594,1432.0,3186.0,3.739457607269287,3.505,Tesla T4
parakeet-tdt-1.1b,,,,librispeech_clean,1,0,0,,,,,,,,,,,,,
parakeet-ctc-0.6b,nvidia/parakeet-ctc-0.6b,nemo,parakeet,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,1.5899863243103027,0.0,Tesla T4
gemma-4-E2B-it,google/gemma-4-E2B-it,,,librispeech_clean,1,0,0,,,,,,,,,,,,,
whisper-large-v3-turbo,openai/whisper-large-v3-turbo,transformers,whisper,librispeech_clean,1,1,0,0.0,0.0,7.660547789592602,7.660547789592602,7.660547789592602,457.5390815734863,457.5390815734863,457.5390815734863,264.0,1660.0,1.3763041496276855,3.505,Tesla T4
whisper-large-v3,openai/whisper-large-v3,transformers,whisper,librispeech_clean,1,1,0,0.0,0.0,2.6506481766628127,2.6506481766628127,2.6506481766628127,1322.3180770874023,1322.3180770874023,1322.3180770874023,1394.0,3172.0,2.7003979682922363,3.505,Tesla T4
parakeet-ctc-1.1b,nvidia/parakeet-ctc-1.1b,nemo,parakeet,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,1.7307910919189453,0.0,Tesla T4
parakeet-rnnt-0.6b,nvidia/parakeet-rnnt-0.6b,nemo,parakeet,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0,1.1409802436828613,0.0,Tesla T4
parakeet-rnnt-1.1b,,,,librispeech_clean,1,0,0,,,,,,,,,,,,,
qwen3-asr-1.7b,Qwen/Qwen3-ASR-1.7B,transformers,qwen3-asr,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12194.875,21.567782640457153,0.0,Tesla T4
gemma-4-E4B-it,google/gemma-4-E4B-it,,,librispeech_clean,1,0,0,,,,,,,,,,,,,
parakeet-tdt-0.6b-v3,nvidia/parakeet-tdt-0.6b-v3,nemo,parakeet,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.0,1.0728657245635986,0.0,Tesla T4
parakeet-tdt-0.6b-v2,nvidia/parakeet-tdt-0.6b-v2,nemo,parakeet,librispeech_clean,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.0,1.0463602542877197,0.0,Tesla T4
